Time,Volume,Gammatilde
0.1,[2.36731973e-09 2.37449626e-09 2.34595454e-09],[0.21629627 0.35374457 0.14391511]
0.105,[2.36489822e-09 2.37380073e-09 2.34082185e-09],[0.20264317 0.33770051 0.13653789]
0.11,[2.37362403e-09 2.36310123e-09 2.33717177e-09],[0.32034419 0.19094993 0.13294476]
0.115,[2.37391083e-09 4.69721295e-09],[0.30303179 0.1562838 ]
0.12,[2.37438564e-09 4.69646303e-09],[0.28658864 0.15148654]
0.125,[2.37479811e-09 4.69569906e-09],[0.27013773 0.14760775]
0.13,[2.37654321e-09 4.69471289e-09],[0.25235021 0.14444445]
0.135,[2.37551514e-09 4.69979930e-09],[0.23201117 0.14196527]
0.14,[2.37345364e-09 4.69925681e-09],[0.21228955 0.14033168]
0.145,[2.37191601e-09 4.69533517e-09],[0.19621895 0.13645464]
0.15,[2.36995695e-09 4.69268215e-09],[0.18317787 0.13067694]
0.155,[7.0595315e-09],[0.14084695]
0.16,[7.05707403e-09],[0.13526997]
0.165,[7.05803914e-09],[0.13154989]
0.17,[7.05235504e-09],[0.12951308]
0.17500000000000002,[7.04312655e-09],[0.12791115]
0.18,[7.03556237e-09],[0.12551695]
0.185,[7.02688419e-09],[0.12129363]
0.19,[7.01759369e-09],[0.11589682]
0.195,[6.99836618e-09 1.54365851e-13],[0.11035231 0.04525717]
0.2,"[6.89288842e-09 7.56409274e-11 1.28879659e-11 1.61434383e-14
 4.06211705e-14]",[0.10645057 0.06748241 0.072712   0.04538772 0.04556032]
0.20500000000000002,"[6.87452351e-09 7.46556702e-11 1.17190386e-11 2.28111886e-13
 3.79954836e-14 3.72665030e-13]",[0.10418335 0.06647783 0.06850812 0.04504488 0.04449795 0.04753722]
0.21,"[6.85885177e-09 7.33568579e-11 1.08233785e-11 4.14257476e-14
 4.88956162e-14 4.38276157e-14]",[0.10271347 0.06519697 0.0648356  0.04651253 0.05229105 0.05979946]
0.215,"[6.83871633e-09 7.23611618e-11 6.21758003e-14 3.58938592e-14
 4.14669750e-12 2.60425685e-14 1.00208228e-11]","[0.10047819 0.06281638 0.04738821 0.04485399 0.06316332 0.05860703
 0.06262938]"
0.22,"[6.66128159e-09 7.09374211e-11 8.82330099e-14 3.90479004e-14
 2.26720241e-12 5.71095587e-13 1.59582160e-10 2.22496503e-14
 1.30172489e-12 7.00174113e-12]","[0.09734702 0.05877703 0.04781806 0.04374301 0.05793324 0.05964333
 0.08634962 0.07530834 0.05286282 0.06234155]"
0.225,"[5.10672494e-09 1.53380769e-09 2.59739538e-13 3.25001967e-13
 4.97950888e-13 4.87749160e-14 3.84802947e-13 5.70899631e-14
 8.86972620e-13 6.77055460e-12 6.99386631e-11 1.58121365e-10]","[0.09583882 0.08889181 0.05822153 0.05470296 0.05327357 0.05395201
 0.05469165 0.04547092 0.05152418 0.05982671 0.05333558 0.08397337]"
0.23,"[5.09697875e-09 1.52764828e-09 3.32413067e-13 3.83253125e-12
 9.38852449e-14 3.01177863e-13 2.22058107e-13 3.79454295e-13
 4.10939645e-13 1.67569434e-12 6.83756011e-11 1.56801020e-10]","[0.09282228 0.08481711 0.05774572 0.05932688 0.05294398 0.05101321
 0.05129303 0.05105589 0.05143595 0.05382163 0.05099943 0.08233354]"
0.23500000000000001,"[5.08707794e-09 1.51959654e-09 2.35461537e-13 3.76057380e-12
 5.22096109e-14 4.63730264e-14 3.59496476e-13 2.28841609e-13
 7.58194064e-13 5.77792511e-13 6.54273013e-11 1.25684108e-12
 1.55903008e-10]","[0.09035485 0.08069592 0.05860015 0.05773162 0.05027705 0.04966522
 0.05186258 0.05269249 0.05169697 0.04978335 0.04889094 0.02717772
 0.08053739]"
0.24,"[5.07837071e-09 9.20935960e-11 1.41800547e-09 3.91329622e-13
 2.72278704e-13 7.76781672e-14 4.38622534e-13 1.82452287e-13
 4.05433085e-13 1.89909024e-14 6.43507776e-11 9.86751721e-13
 3.37680854e-12 1.54465345e-10 1.54656190e-13]","[0.08821904 0.0630422  0.07844938 0.02796653 0.05855255 0.05028597
 0.05456429 0.05430726 0.04893845 0.04721224 0.04508811 0.02731332
 0.05718738 0.07809733 0.06496499]"
0.245,"[5.22115387e-09 9.08512946e-11 1.41115906e-09 4.80612380e-13
 3.05627690e-13 5.95926522e-13 2.92368527e-14 9.60174883e-13
 4.04367253e-13 6.31544634e-11 9.66154486e-13 3.24713658e-12]","[0.08638264 0.06145836 0.07766478 0.02807279 0.05700241 0.03238396
 0.03551088 0.05664935 0.04655226 0.04299146 0.02782466 0.05733462]"
0.25,"[4.31740819e-09 8.97346323e-11 1.40108218e-09 5.36355234e-13
 2.64153545e-13 3.01873143e-13 3.93605427e-14 8.87938939e-10
 9.23240211e-13 5.67973959e-13 6.14410699e-11 1.02183263e-12
 1.42944000e-12 3.30662510e-12 1.89731799e-14 7.06635351e-14]","[0.08821278 0.06012226 0.07947065 0.02897739 0.05498645 0.03377732
 0.03546725 0.07110643 0.05757355 0.04549456 0.04391723 0.02905344
 0.03679029 0.05787176 0.05430411 0.04577313]"
0.255,"[4.30911868e-09 8.81812562e-11 2.81060617e-13 4.90398223e-14
 1.39387724e-09 9.64699668e-13 9.64755276e-12 4.92422471e-11
 1.05782751e-12 1.04317040e-12 3.27016132e-12 8.85758029e-10
 7.97100819e-13 2.89538698e-13 1.90608892e-14 1.51978176e-13]","[0.08690924 0.05875103 0.02926637 0.05313315 0.07995742 0.05346785
 0.03400807 0.04639636 0.03054914 0.03734455 0.05854801 0.06896468
 0.0471643  0.05723762 0.04700935 0.04706731]"
0.26,"[4.29342058e-09 8.76989221e-11 4.40472244e-13 5.69680328e-14
 1.35533865e-09 1.10184918e-12 2.17738701e-12 7.68968882e-13
 9.25060339e-12 4.78995138e-11 1.01257750e-12 2.62253638e-11
 9.99371019e-13 1.18652282e-13 3.77464154e-14 6.79587289e-13
 8.83483896e-10 3.18239699e-12 7.87990759e-13 3.70969194e-13
 1.41414032e-13 4.26207195e-13 4.38534923e-14 1.35615152e-13
 2.97189911e-13]","[0.08543368 0.05672801 0.02925291 0.05149523 0.07891431 0.03544085
 0.03129539 0.04494912 0.03062995 0.0460745  0.03056487 0.04134823
 0.03687363 0.03750633 0.0377433  0.03858447 0.06556666 0.05848874
 0.04759275 0.05941544 0.04814129 0.04718498 0.03861679 0.03879572
 0.03932248]"
