Time,Volume,Gammatilde
0.115,[2.37272369e-09 2.35896694e-09 2.33087805e-09],[0.62941391 0.3877084  0.28496681]
0.12,[2.37294947e-09 4.68749612e-09],[0.5989472  0.33058631]
0.125,[2.37284038e-09 4.68575013e-09],[0.56781607 0.32528046]
0.13,[2.37270251e-09 4.68441979e-09],[0.532984   0.32081258]
0.135,[2.37399137e-09 4.68086146e-09],[0.49366114 0.31616779]
0.14,[2.37355530e-09 4.67987335e-09],[0.45858242 0.3092621 ]
0.145,[2.37201670e-09 4.67727634e-09],[0.43348064 0.29957714]
0.15,[2.36921408e-09 4.67015128e-09],[0.41497542 0.28970057]
0.155,[2.36678675e-09 4.66421651e-09],[0.39729834 0.28304853]
0.16,[7.0246771e-09],[0.31349952]
0.165,[7.02189087e-09],[0.30746599]
0.17,[7.01472869e-09],[0.30378416]
0.17500000000000002,[7.00860547e-09],[0.30069237]
0.18,[7.0048549e-09],[0.29516034]
0.185,[6.98673228e-09],[0.28728999]
0.19,[6.16025886e-09 8.07207870e-10 3.83160088e-14 4.36048769e-14],[0.27991269 0.23399308 0.10336639 0.10285816]
0.195,"[6.14953037e-09 8.24528874e-11 7.20232998e-10 8.58888627e-14
 3.77202833e-14 3.07633917e-14]",[0.26826315 0.16963968 0.22319625 0.09929257 0.09819389 0.11156854]
0.2,[6.13893573e-09 8.10895022e-11 7.16666384e-10 2.50688557e-13],[0.26284093 0.16880833 0.21534251 0.11595382]
0.20500000000000002,"[6.12436984e-09 7.97935270e-11 7.11588869e-10 3.23732907e-14
 4.01900927e-13 5.23143358e-14 1.09981127e-13 1.90684840e-13]","[0.2616245  0.1672576  0.21912193 0.11350573 0.10449053 0.09824742
 0.09772778 0.1193673 ]"
0.21,"[6.10551769e-09 7.90764867e-11 3.54410968e-13 7.07488123e-10
 1.15095841e-13 5.43142345e-12 4.10100740e-14]","[0.25980961 0.16412178 0.11072903 0.22672293 0.09909603 0.17604896
 0.12476967]"
0.215,"[6.09351219e-09 7.77402830e-11 1.95853808e-13 2.84273107e-14
 2.46091880e-13 7.04098817e-10 1.37930489e-13 4.52971299e-12
 2.44719538e-14]","[0.255318   0.15886909 0.11090427 0.11031864 0.102171   0.22560444
 0.18376661 0.16489295 0.12702744]"
0.22,"[5.30178284e-09 7.81874315e-10 7.64837982e-11 1.43623107e-13
 7.01228581e-10 4.00578698e-12 2.01273771e-13 3.51791238e-13
 6.20607172e-14]","[0.25197696 0.22839878 0.15040375 0.10392593 0.21792126 0.15854444
 0.12850922 0.10985903 0.1089826 ]"
0.225,"[5.28871868e-09 7.78573012e-10 1.14399040e-13 6.96446371e-10
 5.88369332e-13 1.24012171e-13 2.69498237e-12 1.37070018e-13
 3.91162705e-13 9.47194467e-14 7.51617152e-11]","[0.24597045 0.21979732 0.10898595 0.21015236 0.16562571 0.0765894
 0.15194668 0.13491779 0.10776494 0.10460187 0.13767946]"
0.23,"[5.27809323e-09 7.74178675e-10 1.88638068e-13 3.43933463e-12
 6.90942366e-10 2.53113901e-14 3.18282718e-14 2.26426248e-13
 7.10122974e-11 2.74699271e-12]","[0.23992782 0.21116127 0.11031606 0.15355807 0.20517048 0.07716183
 0.12708693 0.10780492 0.13307066 0.07397779]"
0.23500000000000001,"[5.26505570e-09 1.02702919e-10 6.66512854e-10 4.25031631e-13
 7.13148323e-13 1.14089385e-12 4.16517103e-13 1.13296462e-13
 1.41725612e-13 6.85085640e-10 7.08667769e-11 1.34666410e-12]","[0.23617639 0.16673247 0.20291313 0.16437778 0.15753462 0.14906199
 0.08078512 0.10476123 0.10647775 0.20844818 0.12587879 0.07036796]"
