Time,Volume,Gammatilde
0.165,[7.00033401e-09],[0.23542487]
0.17,[6.9941441e-09],[0.23202947]
0.17500000000000002,[6.98803308e-09],[0.22666552]
0.18,[6.26229521e-09 7.22027330e-10 4.21180692e-14],[0.22085253 0.19382904 0.06663802]
0.185,[6.25823450e-09 7.16849385e-10],[0.2105841 0.1807931]
0.19,[6.24453239e-09 8.41865338e-11 6.27658766e-10],[0.20221937 0.13123375 0.17070506]
0.195,"[6.23316441e-09 8.30613081e-11 3.06512439e-14 6.23366634e-10
 8.31767359e-13 1.00696353e-13]",[0.19786689 0.12830179 0.06182873 0.15934679 0.06557755 0.06245865]
0.2,"[6.22235709e-09 8.15103628e-11 4.40679022e-14 6.19803759e-10
 5.49978892e-14 1.29950021e-13 4.27061508e-14 3.87712713e-14
 4.61460338e-14 3.29877343e-14 2.01049589e-14]","[0.19761545 0.12533006 0.07164638 0.15803626 0.06967957 0.06694292
 0.06315713 0.06281472 0.07739051 0.0816978  0.08666085]"
0.20500000000000002,"[6.20557945e-09 8.02933668e-11 4.10947792e-13 6.17243948e-14
 9.21483593e-14 6.15807697e-10]",[0.19789633 0.12130886 0.07028753 0.06599512 0.06338744 0.16317414]
0.21,"[6.18224488e-09 7.87272926e-11 3.28151303e-13 5.87444602e-14
 6.11704689e-10 6.65646655e-12]",[0.19483603 0.11650019 0.06757897 0.06458076 0.16438299 0.09516463]
0.215,"[6.17241875e-09 7.75163222e-11 1.43026127e-13 4.49136791e-12
 6.06664414e-10 3.43544516e-13 1.09873144e-13 6.47758419e-14
 1.08122379e-13]","[0.18758324 0.11008719 0.06736857 0.09382934 0.15980851 0.08665334
 0.08854694 0.06554202 0.06547387]"
0.22,"[4.93722963e-09 8.13909980e-10 3.77999063e-13 3.04561792e-12
 6.01714236e-10 1.16943012e-13 1.00803671e-13 6.00679072e-13
 4.08521008e-10 2.24281915e-14 1.09094889e-13 5.63843593e-14
 7.57159604e-11]","[0.1829135  0.17612267 0.06911242 0.09394287 0.1531112  0.0815033
 0.08179118 0.08398577 0.12339258 0.06796425 0.06740566 0.06725474
 0.10113335]"
0.225,"[4.92512275e-09 8.10884908e-10 2.79543703e-14 2.78069462e-12
 4.68430074e-13 4.05777874e-13 2.07731128e-13 5.98103430e-10
 7.44304618e-11 4.06243382e-10]","[0.17487609 0.16580534 0.10199782 0.09197996 0.08196592 0.06967444
 0.069605   0.14511396 0.09288247 0.11907904]"
0.23,"[4.91543561e-09 8.05616914e-10 2.38870540e-12 3.39712032e-14
 3.80230576e-14 4.64614105e-14 5.23805963e-13 6.86947933e-13
 5.91896737e-10 7.14397668e-11 1.24260938e-12 4.05237651e-10]","[0.17045593 0.15390891 0.09033757 0.05344942 0.05323588 0.08104713
 0.08156434 0.07247513 0.14259742 0.08805004 0.04905468 0.11420644]"
0.23500000000000001,"[4.90422760e-09 9.44933797e-11 7.05588534e-10 1.22564162e-13
 4.75738253e-13 9.78540557e-14 3.88980617e-14 9.52781177e-13
 4.59856800e-14 5.14600625e-13 8.20044053e-13 1.15249063e-12
 5.85599042e-10 6.95323479e-11 2.39229993e-13 6.79923347e-13
 4.02471462e-10]","[0.16929733 0.12369572 0.14475138 0.05362858 0.08914227 0.05322874
 0.08544191 0.08684414 0.08179654 0.08165899 0.07532578 0.06553924
 0.1478459  0.08075786 0.05063106 0.04854687 0.11010689]"
