Time,Volume,Gammatilde
0.0,[2.38493124e-09 2.38488547e-09 2.38493135e-09],[0.89999655 0.89999653 0.89999655]
0.005,[2.38449361e-09 2.38450488e-09 2.38465787e-09],[0.89839173 0.89816281 0.89758081]
0.01,[2.38454589e-09 2.38452786e-09 2.38457193e-09],[0.8945357  0.89418689 0.88446102]
0.015,[2.38418623e-09 2.38428230e-09 2.38423175e-09],[0.88866875 0.88776008 0.85085086]
0.02,[2.38383091e-09 2.38347317e-09 2.38391954e-09],[0.88335138 0.79254973 0.87817043]
0.025,[2.38344177e-09 2.38242638e-09 2.38353316e-09],[0.87860264 0.72040734 0.86617521]
0.03,[2.38286331e-09 2.38094324e-09 2.38289320e-09],[0.87428182 0.64437405 0.85059572]
0.035,[2.38216128e-09 2.37896674e-09 2.38208950e-09],[0.87018984 0.57406993 0.82984462]
0.04,[2.38150954e-09 2.37669393e-09 2.38131084e-09],[0.86593468 0.51672848 0.80225652]
0.045,[2.38077647e-09 2.37435893e-09 2.38034518e-09],[0.86165333 0.47311715 0.76611025]
0.05,[2.38030317e-09 2.37221943e-09 2.37960926e-09],[0.85669717 0.44105305 0.72219183]
0.055,[2.38023551e-09 2.37943825e-09 2.37018549e-09],[0.85084402 0.67469893 0.41592559]
0.06,[2.37950503e-09 2.37846377e-09 2.36747727e-09],[0.84334719 0.6307597  0.39509929]
0.065,[2.37748375e-09 2.36500982e-09 2.37894241e-09],[0.59096111 0.37542798 0.8332446 ]
0.07,[2.37643602e-09 2.36250997e-09 2.37821141e-09],[0.55529893 0.35682829 0.81927657]
0.075,[2.37529572e-09 2.37743807e-09 2.35927004e-09],[0.52281803 0.7996252  0.33949356]
0.08,[2.37352203e-09 2.37656185e-09 2.35531394e-09],[0.49162212 0.77309048 0.32335257]
0.085,[2.37094891e-09 2.37550978e-09 2.35131020e-09],[0.45805542 0.73945288 0.30803488]
0.09,[2.36757329e-09 2.37415436e-09 2.34626886e-09],[0.42432039 0.70079963 0.29192624]
0.095,[2.36451762e-09 2.37325602e-09 2.34103706e-09],[0.39763158 0.66071956 0.27549501]
0.1,[2.37226135e-09 2.36138162e-09 2.33490867e-09],[0.62274857 0.38001569 0.26210447]
0.105,[2.37135020e-09 2.35915576e-09 2.33014347e-09],[0.58759168 0.36698942 0.2557347 ]
0.11,[2.37060436e-09 2.35663810e-09 2.32507632e-09],[0.55504167 0.35522002 0.25606265]
0.115,[2.37023327e-09 2.35454957e-09 2.32151469e-09],[0.52460497 0.3440461  0.26023683]
0.12,[2.36968085e-09 2.35255706e-09 2.31786331e-09],[0.49634376 0.33365218 0.26594111]
0.125,[2.36868905e-09 2.35037098e-09 2.31524480e-09],[0.46814838 0.32397449 0.27159166]
0.13,[2.36709632e-09 4.66283645e-09],[0.43659382 0.29452388]
0.135,[2.36518601e-09 4.65895294e-09],[0.40580668 0.28786908]
0.14,[2.36444321e-09 4.65384003e-09],[0.3830434  0.27671869]
0.145,[2.36305319e-09 4.65272130e-09],[0.36795711 0.26461244]
0.15,[2.36126706e-09 4.65025045e-09],[0.35557875 0.25627049]
0.155,[2.35617858e-09 4.65649323e-09],[0.34453243 0.25364044]
0.16,[2.35346159e-09 4.65009599e-09],[0.33355817 0.25563743]
0.165,[6.99346766e-09],[0.28087671]
0.17,[6.98384122e-09],[0.27985259]
0.17500000000000002,[6.97318733e-09],[0.27471469]
0.18,[6.26171772e-09 7.02750242e-10 3.65481967e-14],[0.26736492 0.23028904 0.07293313]
0.185,[6.25285105e-09 1.73082894e-12 6.98754866e-10 4.35805108e-14],[0.25382732 0.2169491  0.21498108 0.0703389 ]
0.19,[6.24146244e-09 1.83842122e-12 7.46351393e-11 6.19005107e-10],[0.2450564  0.22002168 0.15785437 0.20307194]
0.195,"[6.22827874e-09 1.74097136e-12 7.34920392e-11 6.14962822e-10
 8.92002379e-13 3.79785858e-14]",[0.24249092 0.22212946 0.15606141 0.19230715 0.07633717 0.07232725]
0.2,"[6.21573042e-09 7.19671553e-11 6.11602983e-10 4.47311305e-14
 6.23453373e-14 6.89802662e-14 2.04589988e-13 5.18419693e-14]","[0.2447779  0.15396768 0.1937405  0.08423571 0.08031424 0.07803466
 0.07364178 0.09199418]"
0.20500000000000002,"[6.19520479e-09 7.06245103e-11 2.37633745e-13 8.19727931e-14
 1.53190960e-13 6.08068561e-10 2.61003554e-14]","[0.24769511 0.15100339 0.08213768 0.07752235 0.07598448 0.20246847
 0.10240554]"
0.21,"[6.16684569e-09 1.32362142e-13 5.56019301e-14 6.91955355e-11
 4.62934216e-14 3.61734051e-13 1.37598429e-13 9.71971956e-14
 6.04395977e-10 5.98927532e-12 1.18744571e-12]","[0.24665873 0.16378616 0.15807398 0.14664468 0.07949786 0.07976603
 0.16833392 0.15642283 0.20520476 0.11689035 0.10607677]"
0.215,"[4.94953945e-09 8.02607907e-10 4.06380314e-13 5.05257257e-12
 6.00925654e-10 9.46546222e-13 4.07770389e-10 5.71419343e-14
 6.80151490e-11]","[0.24414847 0.24338019 0.0832048  0.11525253 0.2006133  0.10441505
 0.16617478 0.08068056 0.13963981]"
0.22,"[4.94213316e-09 7.99854411e-10 3.51754702e-12 5.96046339e-10
 1.17434288e-13 5.55300210e-13 4.06741446e-10 4.18098296e-13
 5.17485674e-14 5.58706611e-14 3.50172820e-13 6.66964163e-11]","[0.2339653  0.23067684 0.11269321 0.19359866 0.10009616 0.10165045
 0.15875388 0.08174382 0.08102798 0.07800278 0.20984599 0.12984502]"
0.225,"[4.92529735e-09 7.95501508e-10 2.57987586e-12 4.06023843e-14
 3.76055324e-14 4.59199662e-13 6.81325568e-13 4.04386787e-10
 5.55517018e-13 2.95595019e-14 5.91832588e-10 9.00013175e-12
 3.99830206e-13 6.49791548e-11]","[0.22617707 0.21745242 0.11323928 0.07039368 0.06925764 0.10255924
 0.100171   0.15385541 0.0841169  0.08421541 0.18571401 0.1850422
 0.23073552 0.12052718]"
0.23,"[4.91416332e-09 7.90234665e-10 1.89521265e-12 9.95185965e-14
 4.88176090e-14 4.32650499e-13 6.30480995e-13 4.34801625e-13
 8.12711128e-13 5.84545386e-10 9.56532656e-12 3.45640285e-13
 6.22944513e-11 1.10514249e-12 4.01726795e-10]","[0.22318926 0.20189299 0.10861582 0.07076594 0.10273573 0.10151061
 0.09967737 0.07597668 0.08833805 0.18597742 0.21140768 0.23184778
 0.11522807 0.06480701 0.14854248]"
0.23500000000000001,"[4.90535590e-09 9.32310426e-11 6.91562814e-10 1.22528597e-13
 7.96088689e-13 1.09160352e-13 9.39293456e-14 5.19545304e-13
 7.38694071e-13 2.13958755e-13 9.26486420e-13 3.05056819e-13
 3.23433177e-13 5.79082204e-10 9.69293832e-12 3.54887154e-13
 6.11182238e-11 8.12510184e-13 3.99465274e-10]","[0.22432314 0.17251513 0.19162979 0.07197966 0.10836489 0.07154277
 0.1039374  0.10035745 0.10110735 0.07777722 0.09303871 0.0776391
 0.07145315 0.1953359  0.22465208 0.23087425 0.10657992 0.06633792
 0.14545775]"
0.24,"[4.89324838e-09 9.17158864e-11 6.89101121e-10 1.31860510e-13
 5.12135218e-13 2.25304080e-13 3.06089720e-14 1.21088527e-13
 2.06350666e-13 7.30077790e-13 2.28919249e-13 9.40828010e-13
 1.97815468e-14 1.26502973e-13 6.18353599e-14 9.60036026e-12
 2.44414839e-13 5.93325770e-11 4.79023201e-13 5.73288793e-10
 3.97637267e-10]","[0.22661195 0.16873947 0.19034125 0.0773081  0.10589119 0.07262822
 0.09891386 0.09930422 0.10693916 0.10738378 0.08045721 0.09571557
 0.07277086 0.06766123 0.06942919 0.23405609 0.22925221 0.09907384
 0.06878656 0.20285899 0.14807375]"
0.245,"[4.88704493e-09 9.01722600e-11 6.86412668e-10 6.60634316e-13
 1.87587323e-13 2.26940365e-13 2.18769232e-13 7.19016789e-13
 2.05252087e-13 8.32367736e-13 7.81867307e-14 1.44010267e-13
 2.84967631e-11 2.75816139e-11 8.98863516e-13 5.66325700e-10
 3.14733351e-12 3.94070474e-10]","[0.22686362 0.16445302 0.19703532 0.1037049  0.07469654 0.09870032
 0.11077042 0.1111288  0.07968169 0.0952307  0.06875433 0.22736173
 0.09640617 0.09315282 0.07158073 0.20652601 0.09727017 0.15144245]"
0.25,"[3.95146742e-09 5.82487132e-10 8.94801331e-11 6.82058809e-10
 9.49857761e-14 4.19986482e-13 1.69117946e-13 5.46847654e-13
 3.40695543e-10 8.58392302e-13 3.44638998e-13 2.85024493e-13
 3.05436186e-14 2.67264773e-11 2.67894257e-11 8.72727082e-13
 5.60634716e-10 5.04071316e-14 5.36276648e-14 2.62718038e-12
 6.90663052e-13 3.92588559e-10 6.86157507e-13 5.50662667e-13]","[0.22994445 0.22383368 0.15876309 0.19972052 0.07589695 0.09945728
 0.1116241  0.11097081 0.14555924 0.09399703 0.06840724 0.06798582
 0.22555295 0.08874189 0.09997095 0.07336958 0.20975611 0.09617524
 0.09638661 0.09886739 0.10396769 0.14908937 0.07044529 0.07179316]"
0.255,"[3.94088552e-09 1.26161513e-13 5.80059086e-10 8.80362468e-11
 6.45526992e-13 4.00560268e-14 1.56958343e-13 8.00030987e-13
 6.79160419e-10 7.29833231e-10 7.17523253e-13 5.46769240e-13
 2.45748584e-11 3.43169714e-13 2.63450845e-11 6.91618869e-13
 2.45736209e-11 1.18627411e-13 2.70966697e-12 5.28864699e-10
 9.07009303e-13 4.31651310e-13 8.86186288e-13 3.04717660e-13
 1.30781077e-13 5.27078728e-14 1.33671473e-13]","[0.22326543 0.21532629 0.21364092 0.15144731 0.10427373 0.07561632
 0.11114388 0.10906947 0.19179641 0.14416548 0.09268764 0.07165864
 0.08306648 0.07043785 0.1013745  0.07243758 0.10609423 0.09351237
 0.09949983 0.21468067 0.10770297 0.07026089 0.07351777 0.07471867
 0.09299641 0.09289974 0.09333878]"
0.26,"[3.93118596e-09 5.76717780e-10 8.63217759e-11 2.88953028e-14
 1.56639616e-13 6.94590429e-13 6.74353091e-10 7.36629345e-13
 2.32125632e-11 1.55443832e-13 2.22274639e-11 1.83048565e-11
 7.73652670e-13 2.68686444e-13 1.02924204e-13 2.10370502e-13
 3.39749701e-14 1.15191911e-12 1.18853878e-12 3.33989960e-14
 3.06344755e-14 3.82863669e-13 2.30684264e-12 1.20261356e-12
 5.24707343e-10 8.28634866e-13 5.30681088e-13 3.85352518e-10
 3.42144063e-10 3.51839307e-13 1.02595887e-12 6.61767365e-13
 2.94410649e-14 3.58825575e-14 3.78047763e-14 4.24890989e-14
 4.06605855e-14]","[0.21586922 0.20564673 0.14192958 0.07898952 0.1087708  0.10586768
 0.18619099 0.07337046 0.07814749 0.06602428 0.10553385 0.10448299
 0.07131653 0.08121288 0.08090732 0.08219352 0.08373732 0.08720214
 0.0903172  0.08586706 0.09490161 0.08406557 0.09934984 0.08606878
 0.20589138 0.10797901 0.10631614 0.1432431  0.13472163 0.0702218
 0.07675298 0.07996125 0.08606865 0.08252453 0.0873559  0.08864408
 0.09017116]"
