Time,Volume,Gammatilde
0.0,[2.38493124e-09 2.38488547e-09 2.38493135e-09],[0.90000003 0.90000003 0.90000003]
0.005,[2.38462854e-09 2.38459273e-09 2.38468965e-09],[0.89878588 0.89856896 0.8979589 ]
0.01,[2.38434356e-09 2.38429713e-09 2.38449463e-09],[0.89550118 0.89518858 0.88522428]
0.015,[2.38402263e-09 2.38410351e-09 2.38411964e-09],[0.8904678  0.88949541 0.8520746 ]
0.02,[2.38387698e-09 2.38346976e-09 2.38396043e-09],[0.8859187  0.7944144  0.88071634]
0.025,[2.38327562e-09 2.38229603e-09 2.38342628e-09],[0.88209377 0.72223948 0.86956494]
0.03,[2.38287910e-09 2.38104591e-09 2.38290476e-09],[0.87854035 0.64603921 0.85461665]
0.035,[2.38218935e-09 2.37891754e-09 2.38210060e-09],[0.87527057 0.57580999 0.83440241]
0.04,[2.38152694e-09 2.37673861e-09 2.38134632e-09],[0.87185093 0.51868011 0.80716264]
0.045,[2.38077712e-09 2.37424892e-09 2.38034731e-09],[0.86837526 0.47522638 0.77115924]
0.05,[2.38028109e-09 2.37221886e-09 2.37954495e-09],[0.86422286 0.44326883 0.72706755]
0.055,[2.37985463e-09 2.37891560e-09 2.36999329e-09],[0.85903031 0.67956776 0.41841737]
0.06,[2.37921704e-09 2.37794349e-09 2.36724552e-09],[0.85213589 0.63524409 0.396894  ]
0.065,[2.37713587e-09 2.36448116e-09 2.37855775e-09],[0.59522995 0.37700064 0.84234488]
0.07,[2.37610298e-09 2.36208150e-09 2.37786773e-09],[0.55943164 0.35861996 0.8286132 ]
0.075,[2.37483090e-09 2.37722688e-09 2.35898863e-09],[0.52687811 0.80913129 0.34150611]
0.08,[2.37299191e-09 2.37615353e-09 2.35570744e-09],[0.49555294 0.78252059 0.32548513]
0.085,[2.37043784e-09 2.37506226e-09 2.35161310e-09],[0.46214962 0.74872964 0.31001711]
0.09,[2.36709863e-09 2.37390337e-09 2.34669407e-09],[0.42842278 0.70930425 0.29368925]
0.095,[2.36396181e-09 2.37284198e-09 2.34119250e-09],[0.40192136 0.66819469 0.27718428]
0.1,[2.37181796e-09 2.36124895e-09 2.33579121e-09],[0.6295643  0.38456515 0.26387959]
0.105,[2.37114601e-09 2.35854939e-09 2.33036851e-09],[0.5940207  0.37174581 0.25734128]
0.11,[2.37035740e-09 2.35588231e-09 2.32608643e-09],[0.56097943 0.36005549 0.25744621]
0.115,[2.37076269e-09 2.35514857e-09 2.32037336e-09],[0.53043676 0.34901312 0.26168804]
0.12,[2.36998360e-09 2.35318337e-09 2.31769972e-09],[0.50205554 0.33872327 0.26806239]
0.125,[2.36898101e-09 2.35114638e-09 2.31511298e-09],[0.47368101 0.329098   0.27428886]
0.13,[2.36723436e-09 4.66276081e-09],[0.44210776 0.29865157]
0.135,[2.36543275e-09 4.65950354e-09],[0.41139869 0.29190865]
0.14,[2.36467544e-09 4.65416459e-09],[0.38900659 0.28058643]
0.145,[2.36250222e-09 4.65294927e-09],[0.37421104 0.26856858]
0.15,[2.35977834e-09 4.65155084e-09],[0.36209875 0.26107202]
0.155,[2.35566273e-09 4.65142305e-09],[0.35098107 0.25935597]
0.16,[2.3538968e-09 4.6462609e-09],[0.33997223 0.26200934]
0.165,[2.35154342e-09 4.63877515e-09],[0.32867039 0.26668427]
0.17,[6.98062187e-09],[0.28654304]
0.17500000000000002,[6.97242571e-09],[0.28046812]
0.18,[6.26473685e-09 6.99870014e-10],[0.27179503 0.23704705]
0.185,[6.25764209e-09 6.95465271e-10 4.36960639e-14 2.86958417e-14],[0.25809663 0.22126235 0.07185764 0.0766958 ]
0.19,[6.24900562e-09 6.91512411e-10],[0.24921288 0.20381607]
0.195,"[6.23474014e-09 6.20136612e-11 6.23334795e-10 8.92173720e-13
 4.01682236e-14]",[0.24825032 0.15606828 0.19834676 0.07771543 0.07374384]
0.2,"[6.22156618e-09 6.12044430e-11 6.20566597e-10 4.37122709e-14
 6.12415003e-14 6.76764695e-14 2.83277374e-13 4.92858198e-14]","[0.25179462 0.15547136 0.19999463 0.08570584 0.08177387 0.07950527
 0.07508568 0.09435137]"
0.20500000000000002,"[6.20990836e-09 5.99266446e-11 2.34991540e-13 7.54494725e-14
 1.04662674e-13 6.16361784e-10]",[0.25537697 0.15368908 0.0837542  0.07905291 0.07639205 0.20862108]
0.21,"[6.18661450e-09 5.86331051e-11 5.18556107e-14 4.52957250e-13
 2.96178081e-14 2.69452260e-13 6.12748941e-10 5.90129263e-12
 1.20439560e-12]","[0.25467954 0.1508221  0.0799091  0.0813494  0.07919096 0.1601208
 0.21044164 0.11933699 0.10825789]"
0.215,"[5.37828123e-09 8.00687278e-10 5.64421497e-11 3.93437724e-14
 5.18292991e-12 6.08699177e-10 7.35320952e-13 5.44475564e-14]","[0.24597172 0.25179329 0.1439955  0.08374128 0.11694871 0.20467983
 0.10510032 0.08076472]"
0.22,"[5.36944792e-09 7.96804932e-10 2.67468672e-12 6.03444260e-10
 4.49847766e-13 7.45390920e-13 1.13401031e-13 3.05026191e-14
 2.25096861e-13 5.03773822e-14 5.59480144e-11]","[0.235086   0.23863792 0.11809579 0.19759706 0.10198096 0.1023878
 0.08391788 0.08355166 0.08283716 0.07994247 0.13235529]"
0.225,"[5.35858143e-09 7.92653457e-10 1.68411990e-14 2.47391920e-12
 3.79971245e-14 3.63141714e-14 1.38009019e-13 1.40661665e-13
 6.68567977e-13 7.25172182e-13 5.98469162e-10 5.19384109e-11
 2.34342831e-12]","[0.22648759 0.22472627 0.15123972 0.1157595  0.07324622 0.07226828
 0.1060519  0.10313479 0.10133167 0.08575271 0.1910086  0.12681008
 0.07138648]"
0.23,"[5.34421257e-09 7.87557396e-10 1.18643555e-13 8.58051315e-13
 3.02347743e-14 1.25165903e-12 4.28738300e-14 6.06803591e-13
 6.86094552e-13 5.92450590e-10 5.18190891e-11 5.20441543e-13
 3.68796269e-13]","[0.22275902 0.20852885 0.15502362 0.11566453 0.07357979 0.10821895
 0.1046292  0.10089465 0.08909769 0.19268661 0.1204002  0.06980502
 0.06815005]"
0.23500000000000001,"[5.32989944e-09 9.28172138e-11 6.88465512e-10 1.22262079e-13
 8.63291695e-13 1.07987568e-13 5.19603834e-13 6.56659659e-13
 2.25885761e-13 7.93479379e-13 4.60909104e-13 2.20119581e-14
 4.86977896e-13 5.85976156e-10 5.05866764e-11 2.42279821e-13
 5.83865847e-13 1.15119416e-13]","[0.22403283 0.18132299 0.19796443 0.0749739  0.11236308 0.07460395
 0.10359673 0.10281254 0.08362767 0.09340407 0.07983316 0.07614439
 0.07310915 0.20237412 0.11174869 0.07161516 0.06849035 0.15483388]"
0.24,"[5.31682097e-09 9.17477334e-11 6.85582797e-10 1.06303822e-13
 4.86096283e-14 7.72367632e-13 3.55587449e-14 3.19888587e-14
 5.23730283e-13 5.04692080e-13 9.04666100e-14 8.78739522e-13
 6.03245320e-13 5.79956540e-10 4.82287716e-11 7.96767903e-13
 1.14800877e-13 5.13412395e-13 1.43172772e-13]","[0.22766693 0.17719309 0.1973246  0.08488335 0.08167836 0.11268548
 0.07602939 0.07591205 0.10148538 0.10577502 0.08609034 0.0981273
 0.07482657 0.2094982  0.10513568 0.08767001 0.07449814 0.06977464
 0.15320873]"
0.245,"[5.29925741e-09 9.01447010e-11 6.82938963e-10 1.96639748e-13
 6.95542602e-13 4.69713633e-13 9.34427492e-13 6.35332171e-13
 1.35832842e-13 4.66135973e-11 5.63856388e-13 1.81419039e-13
 4.05787189e-13 5.71624763e-10 2.91415739e-12 9.45682868e-13
 6.08080304e-13]","[0.2279076  0.17314211 0.20418626 0.07838371 0.10513123 0.10536502
 0.10053019 0.0727592  0.06879182 0.10474142 0.08888012 0.08091787
 0.0710215  0.21352293 0.10451745 0.11755582 0.07127879]"
0.25,"[3.96437630e-09 5.81373688e-10 8.89561059e-11 6.76757965e-10
 1.32402605e-13 7.68621358e-13 3.81204948e-13 5.45361102e-14
 7.39192357e-10 7.57190826e-13 8.23114006e-13 4.48946731e-11
 2.36205171e-13 7.41696183e-13 1.25470563e-13 5.67546673e-10
 1.18972304e-13 1.13251404e-13 1.05585088e-12 1.20343624e-12
 8.12493291e-13 2.28938733e-13]","[0.23530853 0.23358377 0.16751557 0.20582709 0.08031533 0.11032513
 0.10401906 0.0867238  0.15419728 0.09896598 0.0742567  0.10763178
 0.08659437 0.09129759 0.06991776 0.21653403 0.10353817 0.10368513
 0.10460986 0.10654419 0.12052707 0.07275016]"
0.255,"[3.95412552e-09 5.78658972e-10 8.74958753e-11 2.04287572e-13
 1.01987632e-12 4.00417590e-13 6.73169968e-10 7.36694605e-10
 6.67484120e-13 7.38999730e-13 1.02565627e-11 6.43406424e-13
 3.17608621e-11 1.09258544e-13 2.46671536e-11 9.19392331e-13
 2.59305770e-12 6.94265563e-13 1.14356319e-13 1.21509578e-12
 5.33469511e-10 1.05684727e-12 4.66124467e-13 7.70803377e-13]","[0.22935158 0.22320093 0.16034694 0.08091612 0.1148522  0.10182262
 0.19829754 0.15053685 0.09717916 0.07704555 0.08918906 0.08279091
 0.11397825 0.08814768 0.11443492 0.0921919  0.09703521 0.10311729
 0.10455406 0.10841417 0.22210187 0.12092139 0.0748136  0.07687537]"
0.26,"[1.19426974e-09 2.74929832e-09 5.76037370e-10 8.55877590e-11
 2.06141591e-13 2.81157360e-13 6.69760271e-10 9.54539345e-13
 9.33127736e-12 5.63925248e-13 3.09256314e-11 2.11689052e-11
 1.05190650e-13 6.09491312e-14 1.29161116e-12 8.81287649e-13
 7.46823594e-13 6.13256929e-14 1.18339122e-12 5.30433557e-10
 8.81858598e-13 9.32584037e-13 7.21974692e-10 2.59827601e-13
 1.05736642e-12 3.02265200e-14 4.53164770e-14 1.13419510e-13
 4.79116417e-14 1.14367647e-11]","[0.19868037 0.23356221 0.21492385 0.15072143 0.08522316 0.09901378
 0.19372687 0.0800145  0.0845323  0.08384225 0.11538229 0.11032985
 0.08782063 0.0905028  0.0931995  0.09289173 0.10199243 0.1035183
 0.10821585 0.21329293 0.11858693 0.11628918 0.14564814 0.07450515
 0.08062171 0.08872798 0.09004875 0.09153069 0.09282032 0.12386433]"
