Time,Volume,Gammatilde
0.0,[2.38493124e-09 2.38488547e-09 2.38493135e-09],[0.90905588 0.90905564 0.90905588]
0.005,[2.38468154e-09 2.38472689e-09 2.38476360e-09],[0.90417806 0.90388624 0.90367514]
0.01,[2.38437720e-09 2.38435141e-09 2.38452271e-09],[0.89502451 0.89442794 0.88635261]
0.015,[2.38423526e-09 2.38434207e-09 2.38423961e-09],[0.88175543 0.88125642 0.84762597]
0.02,[2.38380609e-09 2.38358025e-09 2.38394216e-09],[0.86898274 0.78512833 0.86422886]
0.025,[2.38347000e-09 2.38261537e-09 2.38353596e-09],[0.85714023 0.71036048 0.84535312]
0.03,[2.38286287e-09 2.38099609e-09 2.38294561e-09],[0.84574752 0.63255148 0.82373818]
0.035,[2.38209622e-09 2.37902695e-09 2.38206578e-09],[0.8347617  0.56100771 0.79843563]
0.04,[2.38139618e-09 2.37662807e-09 2.38127105e-09],[0.8243292  0.50252015 0.76730615]
0.045,[2.38087036e-09 2.37457220e-09 2.38050084e-09],[0.81484388 0.45807287 0.7291635 ]
0.05,[2.38024219e-09 2.37226179e-09 2.37968684e-09],[0.80601971 0.42514406 0.68503194]
0.055,[2.37985421e-09 2.37922583e-09 2.37038207e-09],[0.79667691 0.63898394 0.39944905]
0.06,[2.37939465e-09 2.37845440e-09 2.36823350e-09],[0.78586009 0.59609471 0.37809278]
0.065,[2.37778062e-09 2.36577665e-09 2.37877515e-09],[0.55744429 0.35832898 0.77198308]
0.07,[2.37657554e-09 2.36301224e-09 2.37805465e-09],[0.52207821 0.33976723 0.75319269]
0.075,[2.37540036e-09 2.37725487e-09 2.36019951e-09],[0.4896945  0.72937017 0.32285741]
0.08,[2.37380992e-09 2.37643537e-09 2.35700653e-09],[0.45853563 0.70142366 0.30741495]
0.085,[2.37130244e-09 2.37536931e-09 2.35290797e-09],[0.42549177 0.67048557 0.29280641]
0.09,[2.36843311e-09 2.37440290e-09 2.34755613e-09],[0.39156638 0.63744867 0.27773548]
0.095,[2.36533368e-09 2.37335694e-09 2.34198817e-09],[0.36370614 0.60288249 0.26241733]
0.1,[2.36262446e-09 2.37241839e-09 2.33676659e-09],[0.34470509 0.5683113  0.24964583]
0.105,[2.37164462e-09 2.35992789e-09 2.33142403e-09],[0.53555075 0.33065696 0.24302024]
0.11,[2.37221439e-09 2.35505768e-09 2.32940747e-09],[0.50486673 0.31827231 0.24245937]
0.115,[2.37218553e-09 2.35416174e-09 2.32472349e-09],[0.47576753 0.30691882 0.24524544]
0.12,[2.37189804e-09 2.35191655e-09 2.32177838e-09],[0.44815111 0.2960212  0.24952669]
0.125,[2.37103344e-09 4.67120244e-09],[0.42073586 0.2696299 ]
0.13,[2.36945134e-09 4.66950365e-09],[0.39058352 0.2654622 ]
0.135,[2.36801908e-09 4.66832079e-09],[0.35977086 0.25907266]
0.14,[2.36723881e-09 4.66416792e-09],[0.33508785 0.2487467 ]
0.145,[2.36567450e-09 4.66282584e-09],[0.31801511 0.23678536]
0.15,[2.36274768e-09 4.66369052e-09],[0.3045541  0.22861102]
0.155,[2.35382961e-09 4.67062411e-09],[0.29240785 0.22568945]
0.16,[7.01239378e-09],[0.24405317]
