Time,Volume,Gammatilde
0.14,[2.37727578e-09 4.69349068e-09],[0.12605282 0.16034695]
0.145,[2.37526645e-09 4.69558535e-09],[0.12416673 0.15326765]
0.15,[2.37318944e-09 4.69279251e-09],[0.12624922 0.14349005]
0.155,[7.06276845e-09],[0.13232415]
0.16,[7.05941886e-09],[0.12843613]
0.165,[7.06052987e-09],[0.12615871]
0.17,[7.05369141e-09],[0.12494139]
0.17500000000000002,[7.04606153e-09],[0.12252641]
0.18,[7.03704006e-09],[0.11826516]
0.185,[7.02532132e-09],[0.1129982]
0.19,[7.01291243e-09 4.37510807e-14 1.53144067e-14],[0.10698733 0.04242182 0.04374708]
0.195,[6.91668032e-09 8.22918745e-11 2.34409502e-14 4.18953483e-14],[0.1014239  0.03170796 0.03798985 0.03891963]
0.2,[6.90074705e-09 8.09508817e-11 2.66885037e-14 3.12851008e-14],[0.0965003  0.0285642  0.03390606 0.03543889]
0.20500000000000002,"[6.76994465e-09 8.02280108e-11 3.03832612e-14 1.26920674e-11
 1.09084061e-13 9.44402498e-14 1.00947416e-10 4.24901224e-14
 1.56205977e-13]","[0.09373665 0.02566091 0.01660573 0.04953431 0.03830836 0.03137434
 0.06539887 0.03514055 0.03843958]"
0.21,"[6.75735298e-09 7.89080314e-11 1.18514903e-11 2.06019494e-14
 9.46774037e-11 4.74548472e-12 4.31300383e-13]","[0.09125361 0.02294472 0.04278728 0.02917537 0.06005799 0.03905794
 0.01726484]"
0.215,"[6.75112857e-09 7.78299827e-11 2.64463220e-14 9.45444868e-11
 4.69640546e-12 1.07453383e-11]",[0.08872071 0.02028603 0.02736478 0.05317252 0.03338119 0.03780681]
0.22,"[6.74265293e-09 4.91350049e-14 9.29140370e-11 2.77450809e-12
 4.79342364e-14 4.73002302e-13 4.46068620e-14 2.00688979e-13
 9.46556466e-12 7.72171481e-11]","[0.08548626 0.02523537 0.04825338 0.0292559  0.02822149 0.02862704
 0.02784224 0.02773513 0.03318658 0.01765247]"
0.225,"[6.72938337e-09 6.49979901e-14 9.28850994e-11 1.74564282e-12
 1.38044115e-13 2.61926214e-14 1.44939499e-13 1.63151420e-13
 2.10160277e-13 7.93990122e-12 7.56107851e-11]","[0.08200181 0.02362986 0.04432612 0.02690267 0.02444067 0.02437703
 0.02444033 0.02463043 0.02438274 0.02903102 0.01496824]"
0.23,"[6.71019317e-09 9.28789087e-11 1.48846053e-12 1.72888014e-13
 1.59414861e-13 3.88997355e-14 6.83823788e-12 7.38693032e-11]","[0.0783251  0.04124459 0.02479959 0.02174119 0.0220811  0.02220591
 0.02531566 0.01260194]"
0.23500000000000001,"[6.69384155e-09 1.63058902e-12 2.36111912e-13 8.07927023e-13
 2.06944180e-13 4.76219289e-12 7.08989222e-11 2.35132240e-13
 1.20390045e-12 9.29814785e-11]","[0.07437511 0.02249651 0.02043007 0.02033825 0.01992496 0.02233687
 0.01099714 0.00787303 0.00693614 0.03871899]"
0.24,"[6.60656148e-09 6.77787119e-11 1.25438961e-12 2.21731619e-13
 3.03880105e-13 9.71108616e-14 3.03746012e-12 6.95520987e-11
 5.72030452e-14 4.73460333e-14 1.09391485e-12 1.54887146e-12
 9.30610859e-11]","[0.07053031 0.02275197 0.02064464 0.02057512 0.01953781 0.01821169
 0.02054231 0.00929031 0.00740437 0.00717394 0.00642389 0.00990682
 0.03621432]"
0.245,"[6.00333224e-09 6.68855216e-11 1.16284158e-12 9.80551612e-14
 1.06135144e-13 1.02854019e-13 2.40004646e-13 6.70780172e-11
 7.00545961e-13 9.37852304e-13 5.85718033e-10 8.76151728e-13
 9.06100873e-13 9.31005311e-11 3.41002004e-12]","[0.07040962 0.02014542 0.01886356 0.01888892 0.01799176 0.0155786
 0.01523141 0.00789698 0.00712432 0.00611016 0.0277999  0.00900739
 0.00872484 0.03326164 0.01841174]"
0.25,"[5.12852103e-09 6.57518644e-11 1.04340961e-12 1.29133750e-13
 8.61843179e-10 2.42542072e-13 1.29695236e-13 6.48342737e-11
 6.35336550e-13 1.11464999e-12 5.81755850e-10 5.50903795e-13
 8.98942672e-13 9.14323187e-11 2.82368549e-12 2.81927408e-13]","[0.07466876 0.01817244 0.01716453 0.01697911 0.02379832 0.01423346
 0.01369882 0.00689386 0.00678575 0.00584131 0.0260139  0.00825955
 0.00795439 0.02945872 0.01696433 0.01409146]"
0.255,"[4.26715302e-09 6.45506803e-11 1.09034212e-12 1.26545217e-13
 8.51543835e-10 2.85780839e-13 6.19970545e-13 6.33782022e-11
 1.10885606e-12 6.28288336e-13 2.37684580e-11 5.37198780e-13
 6.79227894e-13 9.07117182e-11 3.02677689e-12 8.59356378e-10
 5.61219481e-13 5.53288809e-10 4.27031456e-14 5.52145052e-14
 1.16759950e-13]","[0.07846521 0.01650992 0.01573552 0.01539273 0.03906794 0.01309606
 0.01324099 0.00631197 0.00540709 0.00652806 0.00927217 0.00762052
 0.00738973 0.02525414 0.01550036 0.02175357 0.01367315 0.02487632
 0.00956575 0.0095806  0.00964192]"
0.26,"[4.26318201e-09 6.40071401e-11 1.11784980e-12 2.58310705e-14
 8.47936243e-10 3.72377533e-13 2.81467730e-11 3.28840164e-11
 9.32367081e-13 2.04126907e-11 7.15205759e-13 7.01648026e-13
 2.28402604e-14 5.14106608e-13 9.06312993e-11 3.66343598e-12
 8.57330967e-10 5.17026354e-13 5.58124354e-13 5.53864392e-10
 1.30703638e-13 4.74774574e-14 4.56191902e-14]","[0.07511528 0.01496154 0.01443663 0.01414733 0.03577778 0.01182346
 0.00529186 0.0060131  0.00481779 0.00802031 0.00597588 0.00720677
 0.00715385 0.00662947 0.02456747 0.01453927 0.01939317 0.01278424
 0.013024   0.02252505 0.00786738 0.00834969 0.00865348]"
0.265,"[4.25952053e-09 6.34152041e-11 1.01107757e-12 5.20853411e-14
 8.43855436e-10 1.60469418e-13 2.69422111e-11 3.23329787e-11
 1.44200150e-11 9.75079463e-13 2.28940731e-14 2.14226665e-13
 1.92883163e-12 4.39491685e-13 6.30938251e-13 5.39966155e-13
 9.07375329e-11 8.45781700e-10 3.93033618e-12 6.04351729e-13
 4.27803012e-13 5.53680988e-10 3.31909257e-14 2.04365720e-13
 5.02136839e-14 9.67163264e-12]","[0.07229871 0.0134888  0.01306282 0.01274919 0.0328598  0.01047578
 0.0045822  0.00555587 0.00719798 0.00430128 0.00537678 0.00546849
 0.00594643 0.0053167  0.00682634 0.00587816 0.02461551 0.01746511
 0.01406347 0.01181882 0.01187627 0.0194225  0.00679727 0.01010737
 0.00976339 0.0088099 ]"
0.27,"[4.22537978e-09 6.19101232e-11 8.37757112e-10 2.61860803e-11
 3.15937889e-11 8.35809101e-12 1.93291224e-14 2.32888338e-14
 9.15326392e-13 2.41576444e-13 1.03930211e-12 6.31053805e-13
 5.14718479e-13 5.42924326e-13 9.01918264e-11 2.71796504e-11
 1.08717023e-12 1.32339637e-13 8.43994815e-10 1.42706593e-13
 4.96658598e-13 3.96183041e-12 5.12073627e-13 3.42007096e-13
 5.42668093e-14 1.22756730e-13 4.14110635e-14 2.07133714e-12
 5.08318485e-14 3.96604995e-14 1.16538294e-13 5.53021331e-10
 5.03182415e-14 7.39695655e-14 2.24351216e-14 1.08925065e-13
 8.86688235e-12]","[0.07013042 0.01212179 0.03148617 0.00393947 0.00512159 0.00617776
 0.00479077 0.00468728 0.00410824 0.00492274 0.00524184 0.00620981
 0.0046423  0.00520913 0.02091574 0.01790394 0.01179107 0.02487044
 0.01593342 0.00928842 0.01069716 0.01410032 0.01059926 0.0060526
 0.00612024 0.00617419 0.0062423  0.00655765 0.00615177 0.00603497
 0.00605011 0.0159894  0.00796683 0.00797139 0.00844045 0.00827368
 0.00785894]"
0.275,"[5.06382393e-09 1.07810140e-12 8.32416525e-10 2.46745324e-11
 5.98173531e-11 2.83667062e-11 5.36012371e-14 2.41966611e-14
 8.35740201e-13 8.27931574e-13 3.06755334e-13 5.27577244e-14
 9.17920616e-13 4.25131866e-13 1.59198015e-12 4.74168286e-13
 2.54760485e-11 9.98730956e-13 3.97949649e-14 4.91086037e-14
 5.21031542e-13 4.94884214e-13 4.02436646e-12 5.98489139e-14
 4.59511987e-14 1.66589720e-12 5.33297031e-12 6.90961131e-13
 3.59461703e-13 2.27450978e-14 2.37935682e-13 5.49768762e-10
 1.29096552e-12 1.36692422e-13 8.93390207e-11 8.74322869e-12]","[0.0584009  0.00554746 0.03050463 0.00337281 0.01086504 0.00473166
 0.00425234 0.00426039 0.00451688 0.00358656 0.00555727 0.0042509
 0.00398051 0.00405462 0.00389765 0.00463805 0.01577763 0.01064154
 0.01005809 0.00828475 0.00962004 0.00933877 0.01391411 0.00549419
 0.00564382 0.00579112 0.00567981 0.0048737  0.00459203 0.00447604
 0.0044498  0.01350327 0.01059489 0.00774894 0.01747151 0.00701176]"
0.28,"[4.14419822e-09 8.27951999e-10 2.37290447e-11 5.88009914e-11
 1.57629424e-13 2.86857533e-11 7.39529966e-14 7.50386948e-13
 4.72505716e-13 5.41827582e-14 9.85264552e-13 6.78490835e-13
 2.96636757e-13 2.26646386e-13 1.37833517e-12 3.77774198e-13
 6.26780162e-13 2.50640203e-11 1.00374455e-12 8.41450065e-10
 4.89206189e-13 2.66717984e-13 4.07008152e-12 1.73181821e-12
 3.33357162e-14 1.23341126e-13 3.27469561e-14 4.62093787e-12
 1.66557207e-13 5.49424251e-10 8.50565419e-13 9.86804971e-14
 8.90722568e-11 7.63125484e-11 5.48215665e-13 7.56824555e-12]","[0.06458735 0.02893686 0.00284765 0.00956774 0.00392331 0.00426501
 0.00385299 0.00405926 0.00492181 0.0038646  0.00357604 0.00310921
 0.00515849 0.004142   0.00347315 0.00355237 0.00493844 0.01528255
 0.00959909 0.01338534 0.00860311 0.00839285 0.01272789 0.0053712
 0.00402052 0.00419804 0.0039679  0.00517435 0.00405518 0.01203163
 0.00902487 0.00677519 0.01596327 0.00605516 0.00637995 0.00628257]"
