Time,Volume
0.28,"[5.21327523e-09 1.31654219e-13 3.03345408e-14 1.50652926e-12
 5.18147920e-11 1.36779159e-12 2.80355094e-11 3.88928500e-11
 5.29446944e-12 2.45039997e-13 3.26775406e-13 1.61911819e-14
 1.14077909e-13 1.00324624e-13 1.85506646e-14 6.48169244e-13
 1.42479233e-12 3.76214234e-12 1.44917081e-12 1.09133258e-13
 1.39191383e-11 1.17770169e-13 1.34666399e-12 5.65802395e-12
 6.01988852e-13 5.89259081e-14 6.99100829e-11 1.20174541e-09
 8.68521881e-14 4.72279207e-12 4.37393209e-14 6.10244127e-13
 2.03212525e-14 1.15600387e-13 1.10735671e-13 2.47334157e-13
 5.06937484e-14 5.71755909e-14 4.95349019e-14 4.82905438e-14
 1.55901911e-12 3.61244021e-14 1.04222328e-13 1.40472167e-13
 3.02799184e-14 6.91834797e-11 5.82760057e-12]"
0.28500000000000003,"[5.19886403e-09 9.24323987e-12 1.35694100e-12 4.97952916e-11
 1.46581004e-12 2.78726669e-11 3.74666936e-11 3.56322738e-13
 6.18358629e-13 1.09420038e-12 1.34170473e-12 2.34865179e-12
 1.11393135e-12 1.43322468e-12 1.36637791e-11 4.32328176e-14
 1.27641041e-12 5.59701995e-12 3.76517292e-14 6.88854387e-11
 1.20419369e-09 2.68257438e-12 5.20148180e-14 1.03803991e-13
 2.72962345e-14 7.68646560e-14 3.85859487e-14 8.40332808e-14
 5.25677383e-14 1.37613863e-12 3.79783616e-12 4.25283420e-13
 3.90375178e-13 6.94517771e-11 5.94719702e-12]"
0.29,"[5.11917508e-09 7.17564649e-11 8.57246652e-12 1.09903427e-12
 4.80010440e-11 1.09554022e-12 3.57399934e-11 8.18531657e-14
 5.78822822e-13 2.75287423e-11 1.11799227e-12 2.65728036e-13
 2.39697298e-12 1.28657837e-12 1.00209527e-12 7.10549578e-14
 9.06387897e-13 1.43222470e-12 1.34679368e-11 5.51335899e-12
 6.75267377e-11 5.58897604e-14 1.20726422e-09 2.59987017e-12
 1.60811275e-13 1.37597308e-13 1.27909454e-12 1.83725016e-14
 2.70791046e-14 4.44603862e-14 8.82337183e-14 2.91502522e-12
 3.38841693e-13 6.94312165e-11 5.70987718e-12]"
0.295,"[5.06603165e-09 6.87165195e-11 8.17227582e-12 4.32060978e-14
 1.30528850e-13 1.09035395e-13 1.22659285e-13 4.55364880e-11
 1.26477900e-12 3.57637397e-11 5.93568480e-13 2.71393379e-11
 9.94683411e-13 4.95211497e-13 2.44778561e-12 5.16593690e-13
 4.47640075e-14 4.23737311e-14 7.57181168e-13 1.38794983e-12
 4.80447522e-11 1.37584065e-12 5.41215777e-12 6.67715729e-11
 1.19921652e-09 2.42495605e-12 1.13982747e-12 2.20887187e-13
 1.75566903e-13 1.53388427e-12 4.09143055e-14 2.86057789e-13
 1.36970529e-13 3.19347043e-12 1.30949225e-11 6.96176721e-11
 7.35221709e-12 1.40792632e-12 4.22819701e-12]"
0.3,"[3.19776994e-09 6.54583365e-11 7.67942432e-12 1.85943263e-09
 6.29946527e-14 3.66731831e-11 6.51363504e-13 3.53918943e-11
 1.27682569e-12 1.11416127e-12 2.58479484e-11 2.28641066e-12
 1.13852829e-12 4.68124410e-14 1.49498237e-12 9.19222847e-13
 4.31226176e-11 1.06194219e-12 1.28890097e-12 5.20150240e-12
 6.66883340e-11 1.19876673e-09 2.29398004e-12 1.64030965e-13
 1.11067950e-12 1.09446950e-12 3.91388110e-13 1.27557249e-12
 6.57045133e-12 1.74276940e-13 3.73304625e-14 3.21179213e-12
 1.80296620e-13 6.30731014e-14 2.76558657e-13 1.06538425e-13
 4.70541195e-14 1.32677881e-13 1.39177091e-13 3.59306577e-14
 2.14291002e-13 1.38716837e-13 1.36010882e-13 2.10564174e-13
 1.28383847e-11 6.92916955e-11 6.66015013e-12 1.29832065e-12
 4.03372565e-12]"
0.305,"[2.65217210e-09 3.00794244e-11 7.00851220e-12 6.34142714e-14
 1.85589205e-09 3.28587136e-11 3.28850859e-11 3.53304601e-11
 1.26304979e-12 1.18428145e-12 2.32102702e-12 1.28956781e-12
 2.70813845e-11 9.95634223e-13 3.94149792e-11 1.21144558e-12
 1.18122585e-12 5.11868738e-12 6.39656513e-11 1.19817194e-09
 1.89230067e-12 1.88194179e-13 9.59573631e-13 9.49216200e-13
 3.56431607e-13 1.15351737e-12 6.31406992e-12 2.92965842e-14
 5.09707318e-13 1.46776690e-13 3.04892519e-12 3.28589763e-14
 6.37420492e-14 7.49613112e-13 3.58139276e-14 1.27643737e-11
 6.08976873e-12 6.81867576e-11 5.39433093e-10 4.14191699e-13
 1.38114652e-12 3.97820913e-12]"
0.31,"[2.65094398e-09 2.39087841e-11 2.78929997e-13 5.40514747e-13
 2.26212136e-13 6.88995814e-12 1.81799308e-09 3.33409080e-11
 1.14886314e-12 1.46774156e-11 1.50056641e-11 3.49871160e-11
 1.19937356e-12 1.12467402e-12 2.33251212e-12 1.23077500e-12
 2.33325887e-12 2.47847998e-11 1.08310379e-12 3.66561835e-11
 1.26883060e-12 1.01887282e-12 4.89262775e-12 9.65323724e-14
 1.19674704e-09 1.96237116e-11 4.99820264e-11 1.60335420e-12
 9.94299404e-12 3.79268081e-14 1.74299663e-13 1.30372240e-12
 3.87949676e-14 7.59636271e-13 1.51843437e-11 2.02664349e-12
 9.85343304e-13 3.92090940e-13 1.06737499e-12 5.57280491e-12
 1.27888800e-13 6.45335450e-12 4.83183086e-13 5.74321151e-14
 2.95902178e-12 1.20835613e-12 3.86949046e-14 3.45300544e-14
 1.27251346e-11 6.73815155e-11 2.73359506e-13 5.39225255e-10
 1.25593336e-12 3.83923264e-12]"
0.315,"[2.65154719e-09 3.12123597e-13 2.01022187e-11 1.95758668e-13
 1.45580267e-13 1.81927713e-09 3.32853017e-11 3.26504889e-13
 4.95857641e-13 1.67669377e-14 3.88837730e-14 1.71223197e-12
 1.32026616e-11 1.34530882e-11 3.48723267e-11 1.08966401e-12
 1.04004897e-12 2.18069874e-12 1.31848699e-12 9.87845142e-13
 2.35200044e-12 2.74881765e-11 6.30420563e-12 2.45257892e-11
 6.27609461e-12 1.29048734e-12 1.21078354e-12 4.73906133e-12
 1.45112471e-11 1.19677721e-09 1.90483233e-11 5.05440988e-11
 1.65204069e-12 8.77843747e-12 1.35796952e-13 3.36530851e-13
 7.19850995e-13 7.31863081e-13 2.22674688e-12 9.10597852e-13
 8.94799544e-13 4.50238155e-12 4.90947344e-14 3.69207072e-13
 2.75913180e-12 2.34955009e-14 1.40412501e-12 9.69068878e-14
 4.94632737e-14 6.65021457e-11 7.01907362e-12 5.47609829e-14
 1.25024284e-11 1.78919391e-13 5.38734402e-10 1.06357910e-12
 3.60606877e-12]"
0.32,"[2.64353069e-09 4.26289104e-13 1.38217233e-11 1.85506486e-12
 1.52082504e-13 1.81865718e-09 3.31552909e-11 8.43770427e-14
 1.10298783e-12 1.81665540e-12 1.23749311e-11 1.21550956e-11
 3.42515177e-11 1.13875212e-12 2.20570775e-12 1.50407352e-12
 9.91133722e-13 2.42872960e-11 5.60297927e-12 2.70809902e-12
 8.90300646e-13 1.52550134e-12 2.35423856e-11 3.84789967e-12
 1.22256545e-12 2.62929316e-13 1.14725305e-12 1.19552856e-09
 1.40764720e-11 1.80295132e-11 1.42893397e-12 1.45451816e-11
 2.15616765e-12 4.44627248e-12 3.58927270e-14 5.57199564e-14
 1.74897211e-13 2.15507236e-13 7.78480611e-13 9.47193861e-13
 2.26103701e-12 9.23598336e-13 8.79870134e-13 3.61396867e-12
 9.45004850e-13 2.41381499e-13 2.67625333e-12 1.46156544e-12
 4.42207234e-12 3.55463007e-14 3.58738842e-11 6.55948069e-11
 6.86639721e-12 1.25703213e-11 5.16620379e-10 1.35013232e-13
 1.92465490e-11 5.52292591e-14 3.61320411e-14 1.11298749e-13
 9.38456490e-13 3.55016701e-12]"
0.325,"[1.90082376e-09 3.34692847e-13 1.12065785e-11 2.69519886e-13
 4.76480095e-14 1.81825896e-09 3.28449247e-11 3.64116202e-14
 5.21906157e-14 2.04750980e-13 1.22658963e-12 1.83806566e-12
 1.17789449e-11 1.00804847e-11 3.07680350e-11 2.34031910e-12
 2.12138755e-12 9.67903109e-13 1.37965767e-12 8.05778730e-13
 2.06899380e-11 8.02878385e-13 5.14999400e-12 8.90116416e-13
 2.88002066e-12 1.02167332e-13 3.54342355e-14 1.25907019e-12
 3.99182965e-12 2.28466174e-11 2.59139853e-13 1.03103001e-12
 1.37459732e-13 2.55875977e-12 1.19301134e-09 1.33273491e-11
 1.69544548e-11 1.44035205e-12 1.47383758e-11 1.89143118e-12
 8.18997288e-14 2.17511884e-12 3.37291617e-14 1.28829921e-12
 1.70000108e-12 5.20242285e-14 2.99144273e-13 6.34927059e-13
 9.26735272e-13 8.90582901e-13 7.46428612e-13 4.75215725e-14
 3.42180334e-12 4.26046014e-14 1.47894658e-13 1.57800162e-13
 8.26290224e-13 2.56798773e-12 1.28760811e-12 1.30086148e-11
 4.21858859e-12 3.60218166e-11 6.54192290e-11 7.22675577e-12
 9.92571616e-14 1.23227212e-11 2.50336700e-14 5.16188024e-10
 1.83828789e-11 5.36215887e-14 1.20592427e-13 2.48228023e-13
 4.36180234e-14 7.19085913e-10 8.54547496e-13 3.46329519e-12]"
