Time,Volume,Gammatilde
0.12,[2.37954644e-09 4.70953827e-09],[0.05617372 0.02894981]
0.125,[2.38057360e-09 4.70924115e-09],[0.05343194 0.02834754]
0.13,[2.38240273e-09 4.70654679e-09],[0.05071336 0.02818565]
0.135,[2.38205667e-09 4.70529912e-09],[0.0475382  0.02794411]
0.14,[2.37976543e-09 4.70660201e-09],[0.04359372 0.02774806]
0.145,[2.37881898e-09 4.70778348e-09],[0.03934206 0.02755064]
0.15,[7.08259389e-09],[0.02981891]
0.155,[7.0858442e-09],[0.02806154]
0.16,[7.0875599e-09],[0.02670558]
0.165,[7.08892265e-09],[0.02621736]
0.17,[7.08199533e-09],[0.02609424]
0.17500000000000002,[7.07891209e-09],[0.02586407]
0.18,[7.06598419e-09],[0.02549255]
0.185,[7.05793643e-09],[0.02474627]
0.19,[7.04950806e-09],[0.02357747]
0.195,[7.04131011e-09],[0.02216019]
0.2,[6.91273301e-09 1.15678396e-10],[0.02074655 0.01870401]
0.20500000000000002,[6.82035113e-09 8.17926650e-11 1.14472928e-10],[0.01979704 0.01287833 0.0182189 ]
0.21,[6.80694265e-09 8.04292001e-11 4.14257243e-14 1.13603473e-10],[0.01934884 0.01273396 0.01170047 0.01762012]
0.215,"[6.79064137e-09 7.89908135e-11 1.12732130e-10 5.21288122e-14
 2.24953306e-12 5.25852911e-13]",[0.01914834 0.01257225 0.01708285 0.01152078 0.01257097 0.01748397]
0.22,"[6.77679284e-09 7.84926335e-11 1.11743254e-10 5.54649497e-14
 1.87567608e-13 1.28986584e-13 1.35918377e-12]","[0.01877445 0.01220856 0.01653257 0.0164987  0.0175795  0.01131421
 0.01205003]"
0.225,"[6.76538580e-09 7.75172256e-11 1.11009880e-10 3.35633707e-13
 1.09812535e-13 4.19421258e-14 1.13962509e-13 5.17899753e-13]","[0.0180452  0.01154873 0.01596103 0.01678801 0.01112999 0.01111725
 0.01121886 0.01174995]"
0.23,"[6.75058997e-09 7.66528211e-11 1.09879035e-10 3.39216254e-13
 7.20041621e-14 1.31303754e-13 4.26596011e-14]","[0.01716372 0.01051644 0.01557369 0.01735403 0.01094367 0.01141616
 0.01150269]"
0.23500000000000001,"[6.73351368e-09 7.51982924e-11 1.08714259e-10 3.54263936e-13
 2.32442989e-13 8.90304358e-14]",[0.01635633 0.00984159 0.01536924 0.01703249 0.01117735 0.0108586 ]
0.24,"[6.71929692e-09 7.41354015e-11 1.07047675e-10 3.14561681e-13
 3.09872018e-13 1.72970454e-13]",[0.01576984 0.00956005 0.01520835 0.0162606  0.01171695 0.01122323]
0.245,"[6.66914178e-09 3.30006636e-11 7.09118313e-11 1.25780180e-12
 1.06266195e-10 3.19831679e-13 3.58169109e-13 1.11954757e-13]","[0.01557845 0.00962554 0.00902148 0.00540174 0.01487917 0.01559631
 0.01235666 0.01122122]"
0.25,"[6.65388674e-09 3.21193638e-11 6.95997316e-11 6.41623067e-14
 1.05553030e-12 1.04271521e-10 2.35243333e-13 3.69900570e-13
 1.07758482e-13]","[0.01575371 0.00899293 0.00847801 0.00594785 0.005488   0.01439638
 0.01496258 0.01210561 0.01105294]"
0.255,"[6.63541424e-09 3.09606581e-11 6.74453572e-11 4.37784587e-13
 1.37390545e-12 1.02764857e-10 1.08756472e-13 3.71659415e-13
 2.63200555e-14]","[0.01615826 0.00871222 0.00846277 0.00655527 0.00571078 0.0137092
 0.01409862 0.01154406 0.01078058]"
0.26,"[5.51514385e-09 3.03921549e-11 1.10497677e-09 6.57800977e-11
 5.61592113e-14 1.37978252e-12 9.91468665e-11 9.19044010e-14
 3.02291075e-13 2.77570474e-14 1.83903891e-12]","[0.01676897 0.00863786 0.01403761 0.00876645 0.00642115 0.00604418
 0.01286863 0.01330304 0.01098574 0.01048571 0.00925038]"
0.265,"[5.43630814e-09 2.98881462e-11 1.10280486e-09 6.47774208e-11
 1.37581188e-12 1.86017671e-14 2.67109229e-11 3.60782196e-11
 1.18703000e-13 9.68506210e-11 1.59708294e-13 1.74308042e-12
 1.12220453e-13 4.01430673e-14 5.70426981e-14 4.86730365e-14
 1.07871178e-13]","[0.01695604 0.00862247 0.01364814 0.00865217 0.00634487 0.00652645
 0.00780032 0.01636165 0.01264665 0.01187395 0.01052942 0.00937688
 0.00838637 0.00810269 0.00809917 0.0081282  0.00825105]"
0.27,"[5.42505684e-09 2.94440648e-11 6.38858707e-11 1.33879805e-12
 1.95097386e-11 1.80262751e-13 3.65883170e-12 3.36806812e-11
 8.32093188e-13 1.09040741e-09 3.75245965e-14 9.43890264e-11
 1.85599563e-13 1.73699247e-12 1.06253394e-13 1.87274488e-14
 3.55871109e-14 3.80585318e-14 1.09317342e-13 1.07112885e-11]","[0.01699893 0.00860912 0.00853506 0.00651552 0.00738029 0.00648734
 0.00740617 0.01500642 0.01829104 0.01318018 0.01220515 0.01121464
 0.01017269 0.00958628 0.00748223 0.00859004 0.00808528 0.01098331
 0.01046386 0.00980193]"
